Wall time,Step,Value
1772225044.205714,0,0.665128767490387
1772225044.369459,3,0.2906329035758972
1772225044.406609,4,0.2666512131690979
1772225044.645516,10,0.1769525408744812
1772225044.686745,11,0.18682773411273956
1772225044.801318,14,0.14711247384548187
1772225044.839483,15,0.14043118059635162
1772225044.954332,18,0.12428006529808044
1772225044.992048,19,0.1158585250377655
1772225045.029723,20,0.1142231673002243
1772225045.108888,22,0.10235879570245743
1772225045.149289,23,0.10781197994947433
1772225045.267893,26,0.09261135011911392
1772225045.30641,27,0.08871126174926758
1772225045.541185,33,0.06586331874132156
1772225045.65948,36,0.07815553992986679
1772225045.69842,37,0.07008640468120575
1772225045.736757,38,0.05722228065133095
1772225045.774801,39,0.05238921567797661
1772225045.812953,40,0.05076845735311508
1772225046.098473,47,0.03958006575703621
1772225046.137346,48,0.03610527515411377
1772225046.175853,49,0.03268004581332207
1772225046.255607,51,0.035158559679985046
1772225046.294889,52,0.039534203708171844
1772225046.373941,54,0.0364781990647316
1772225046.491815,57,0.02938324399292469
1772225046.617943,60,0.030506407842040062
1772225046.65894,61,0.0252239927649498
1772225046.699037,62,0.020929640159010887
1772225046.738802,63,0.02286260761320591
1772225046.819611,65,0.02206376940011978
1772225046.859399,66,0.021802864968776703
1772225046.899518,67,0.026028942316770554
1772225046.93928,68,0.026019474491477013
1772225047.018532,70,0.019708184525370598
1772225047.057566,71,0.015612759627401829
1772225047.292297,77,0.014464600011706352
1772225047.369356,79,0.014715907163918018
1772225047.407584,80,0.015173730440437794
1772225047.484059,82,0.018450532108545303
1772225047.522305,83,0.024514343589544296
1772225047.601877,85,0.018743332475423813
1772225047.755943,89,0.016258204355835915
1772225047.793675,90,0.014999478124082088
1772225047.987972,95,0.015325363725423813
1772225048.146431,99,0.016291208565235138
1772225048.185909,100,0.01577678695321083
1772225048.304888,103,0.02941139228641987
1772225048.422943,106,0.025537341833114624
1772225048.462562,107,0.016749339178204536
1772225048.544489,109,0.016169995069503784
1772225048.748459,114,0.011625868268311024
1772225048.832406,116,0.0155259370803833
1772225049.025393,121,0.012410465627908707
1772225049.178733,125,0.005928628146648407
1772225049.219421,126,0.0070928954519331455
1772225049.298934,128,0.00936761312186718
1772225049.379274,130,0.01174184400588274
1772225049.418581,131,0.009523392654955387
1772225049.460381,132,0.009176859632134438
1772225049.621608,136,0.009876429103314877
1772225049.661506,137,0.008190399967133999
1772225049.90208,143,0.005128421355038881
1772225049.941992,144,0.003558177500963211
1772225050.020977,146,0.0036605377681553364
1772225050.0618,147,0.003142951289191842
1772225050.186219,150,0.0026217561680823565
1772225050.462576,157,0.0052013276144862175
1772225050.540259,159,0.005118775647133589
1772225050.580305,160,0.0055162012577056885
1772225050.660321,162,0.004501231014728546
1772225050.743379,164,0.004667137749493122
1772225050.822678,166,0.010752614587545395
1772225050.977739,170,0.10471048951148987
1772225051.016985,171,0.03775991499423981
1772225051.055442,172,0.053467683494091034
1772225051.174506,175,0.033064767718315125
1772225051.213001,176,0.028267931193113327
1772225051.251849,177,0.021312931552529335
1772225051.291784,178,0.02761160396039486
1772225051.371488,180,0.020256858319044113
1772225051.410117,181,0.012814665213227272
1772225051.52577,184,0.004953207913786173
1772225051.564175,185,0.003262829501181841
1772225051.605423,186,0.00485827773809433
1772225051.724467,189,0.005878882948309183
1772225051.763991,190,0.004666435066610575
1772225051.803247,191,0.0032630341593176126
1772225051.844463,192,0.0019862151239067316
1772225051.978716,195,0.0015939456643536687
1772225052.13829,199,0.0016064044320955873
1772225052.177418,200,0.0014478672528639436
1772225052.253727,202,0.0012034911196678877
1772225052.291632,203,0.001284184167161584
1772225052.329366,204,0.0009559048339724541
1772225052.366585,205,0.0008744942024350166
1772225052.442229,207,0.0011346522951498628
1772225052.518459,209,0.0016973218880593777
1772225052.599046,211,0.001194907701574266
1772225052.680077,213,0.002044243272393942
1772225052.75933,215,0.0019037569873034954
1772225052.798573,216,0.0015367686282843351
1772225052.878245,218,0.003034197026863694
1772225052.917174,219,0.0029007666744291782
1772225052.956958,220,0.0016881696647033095
1772225052.997043,221,0.002112636575475335
1772225053.03852,222,0.001449523726478219
1772225053.121382,224,0.001789588131941855
1772225053.164216,225,0.0017319261096417904
1772225053.319888,229,0.001792300259694457
1772225053.552122,235,0.00851264875382185
1772225053.634478,237,0.0070511344820261
1772225053.673523,238,0.009789982810616493
