Vibrational ZPE	Polarizability	Dipole Moment	Adiabatic IE	Cohesive Energy	Molecular Mass	Number e-	Molecular Volume
5047.0	5.243	0.9654	9.921	-2169.0	116.0	56.0	83.5
4370.0	2.686	2.131	12.22	-1644.0	48.02	24.0	47.35
2848.0	4.506	0.681	9.77	-674.9	80.99	36.0	56.89
2434.0	6.545	0.1531	10.52	-1693.0	120.0	58.0	91.19
3941.0	5.452	0.8923	11.28	-1996.0	120.5	58.0	87.82
3572.0	4.654	0.9225	12.21	-1591.0	124.1	60.0	77.34
7754.0	4.198	0.0	9.871	-2352.0	64.03	32.0	65.53
4595.0	5.315	0.2283	9.693	-5871000.0	77.95	36.0	62.45
9637.0	5.374	2.684	11.77	-3267.0	100.1	50.0	89.1
5116.0	6.772	0.8711	11.37	-2809.0	132.5	64.0	102.1
5726.0	5.452	0.4505	11.38	-2587.0	137.0	66.0	93.19
8053.0	6.69	0.415	11.36	-4114.0	166.0	80.0	113.0
4203.0	6.264	0.5247	9.506	-2256.0	116.5	56.0	91.68
8074.0	7.127	0.4039	21450.0	-4109.0	166.0	80.0	116.2
12050.0	5.17	2.622	11.31	-3469.0	100.0	50.0	87.48
1882.0	3.47	1.39	12.87	-629.7	69.99	34.0	52.37
11630.0	6.179	0.0	9.389	-2888.0	40.06	22.0	74.66
7715.0	6.6	0.0	11.07	-3763.0	170.0	82.0	113.2
9467.0	4.599	2.117	11.92	-3090.0	102.0	50.0	81.49
9910.0	5.923	1.902	11.81	-4109.0	111.6	54.0	99.63
7113.0	6.442	0.9584	10.28	-3700.0	150.0	72.0	105.5
4877.0	5.634	1.599	10.56	-2066.0	102.1	50.0	84.53
16690.0	6.175	1.375	10.29	-3932.0	59.88	32.0	91.08
5287.0	7.18	0.0002726	8.428	-2821.0	112.0	54.0	91.44
12690.0	4.466	2.391	11.55	-3022.0	66.05	34.0	72.89
7414.0	6.171	1.406	9.707	-2244.0	80.48	40.0	83.99
23750.0	8.229	0.07823	9.671	-4940.0	55.91	32.0	111.6
13820.0	5.65	2.423	9.669	-3563.0	78.06	40.0	84.5
6979.0	7.701	1.301	32370.0	-3127.0	191.1	92.0	119.2
12200.0	6.564	1.656	11.53	-4334.0	152.0	74.0	112.6
1759.0	6.057	0.8447	10.4	-1274.0	107.0	48.0	73.14
5885.0	6.155	1.087	9.515	-2264.0	98.47	48.0	87.87
1450.0	6.761	1.431	10.44	-981.6	102.1	50.0	84.31
1386.0	4.892	1.945	11.08	-791.8	65.46	32.0	63.55
10350.0	9.43	0.0	9.488	-2187.0	62.22	34.0	107.6
27930.0	8.091	0.0	10.03	-5338.0	58.12	34.0	111.1
3461.0	4.974	0.0	14.39	-2043.0	52.03	26.0	67.46
1151.0	4.095	1.989	11.48	-803.4	65.07	32.0	59.58
4062.0	7.254	0.6671	9.384	-2202.0	160.9	74.0	99.75
10980.0	7.278	0.8628	8.926	-5872000.0	91.97	44.0	84.43
15760.0	7.183	2.81	10.83	-4461.0	114.1	58.0	112.0
22910.0	8.081	0.4298	9.228	-4735.0	56.1	32.0	104.6
6476.0	7.662	0.9548	11.29	-3263.0	170.5	82.0	119.4
5302.0	8.546	0.7283	11.39	-2840.0	170.9	82.0	125.2
12090.0	6.559	2.073	11.75	-4351.0	152.0	74.0	112.8
3840.0	6.729	0.7605	36930.0	-1634.0	162.5	78.0	101.3
8904.0	6.404	1.192	10.03	-3649.0	132.0	64.0	100.9
14150.0	8.333	0.6777	9.609	-3162.0	58.15	32.0	101.7
2507.0	8.274	1.922	9.222	-1985.0	137.9	66.0	104.1
6888.0	4.699	1.871	10.99	-2877.0	98.02	48.0	79.99
4410.0	6.333	1.73	10.49	-2407.0	136.1	66.0	95.61
6720.0	4.722	1.68	8.982	-1873.0	42.04	22.0	60.83
15360.0	6.382	3.056	10.9	-4297.0	116.1	58.0	104.2
25350.0	7.876	0.5161	7.566	-4769.0	59.11	34.0	104.6
5462.0	3.498	1.432	11.33	-1933.0	65.02	32.0	58.67
5547.0	7.719	0.6713	11.39	-2948.0	198.9	92.0	116.2
13620.0	6.464	2.437	11.36	-4360.0	134.0	66.0	108.6
5572.0	6.629	1.411	12.19	-2791.0	152.1	74.0	103.1
1332.0	6.116	1.95	10.23	-763.0	109.9	50.0	72.4
1360.0	7.249	1.173	10.53	-1193.0	148.9	68.0	91.41
12070.0	6.532	2.018	12.58	-4426.0	152.0	74.0	112.7
18970.0	8.429	0.8522	9.627	-3766.0	60.17	34.0	108.2
23110.0	7.428	0.1464	9.0	-4708.0	56.1	32.0	99.43
11360.0	7.403	1.606	24180.0	-4818.0	186.0	90.0	128.1
4578.0	6.599	0.6799	10.75	-2172.0	136.5	66.0	99.93
8783.0	6.337	1.866	16710.0	-3728.0	132.0	64.0	101.6
11580.0	8.766	0.4154	10.26	-2805.0	78.22	42.0	112.8
