Molecule,SHAP_Vibrational ZPE,SHAP_Polarizability,SHAP_Dipole Moment,SHAP_Adiabatic IE,SHAP_Cohesive Energy,SHAP_Molecular Mass,SHAP_Number e-,SHAP_Molecular Volume
FC__C_C_F__F_F_F_F,-0.014226643168168721,-0.1483755156221089,0.025034496802274802,-0.02353027004999827,0.026600127796812464,0.07718000526137445,0.02935433972339582,0.0630163648733119
FC_Cl_Cl,0.005821318211368028,-0.1408317800621757,0.03644482035559844,-0.004143267301363215,-0.01303543130815622,0.044655957558925444,0.008337958021705727,-0.028589199009765573
FC1_C_F_C_C_C1_F_F__F_F__F_F,-0.0183748802159237,0.5925167338045981,0.025605328020872013,0.0024071183364972842,0.017822228083148955,0.06948442254665016,0.009760640578549324,0.3030607025545806
FC_SC_F__F_F__F_F,-0.01129718287834363,0.25767157331417384,-0.0011339550302003727,-0.021635530557071393,0.008305792437706749,0.0499913584971667,0.010225504704763737,0.17849442984650968
FC__N____O__O-___F_F,0.006094985880321598,-0.14051936405366117,0.05802230480575973,0.002336802291536295,0.038447971874155225,0.08232263616092474,0.025808742470510855,0.01987346657533464
CC_Cl_Cl,-0.044679338631711515,0.2699877856167663,-0.03459482496764974,-0.02890557180041625,0.015158110107062053,0.030042553853769156,-0.02332119366790081,0.01288432020139879
FC1_C_F_C_C1_F_F__F_F,0.0013520807760870742,0.2952431426971435,0.03498976174921049,0.006121085373363379,0.025459871442695996,0.05384593220809878,0.011765381200853771,0.200026553069072
FC__C_F_F_Cl,-0.0004894759953847453,-0.20611561774971776,-0.03487878041415642,-0.04296928052630219,-0.006919825702265381,0.046853370574437794,0.009579307904435671,-0.05412504652428932
_C-___O__,0.021135691717649688,-0.36262644866770133,-0.025538814958403135,0.012033387030803318,0.006145064682567017,-0.09707908362014939,-0.027522191260504984,-0.20734239304381652
FC_F__F_F,-0.0022304651502066787,-0.3337037436623582,-0.04009145484595472,0.01872201436803486,-0.01784371858962644,-0.013444336371173864,0.019590791593347742,-0.18762609091925234
CH2Cl2,-0.01803030422745283,-0.18953288051378986,0.01653587215591736,-0.024553399287033838,-0.015185386049079519,-0.05526933310797064,-0.03841398237651295,-0.02945650875552517
N_CC_F__F_F,0.015334058165544085,-0.10402254157031489,0.05271272755576592,0.05461244794486865,0.04641145573914713,0.08296286986695654,0.03451513753720209,0.0400904692921779
FC_C_Cl__F_F__Cl_Cl,0.0020045024530618884,0.6945837958189888,0.017880124537803337,0.006263907702664679,0.019812160945955323,0.07276044661720743,0.013769458325431527,0.3080528049541126
CC_N,-0.00494695234450776,-0.24107799657894613,0.02325740250290954,0.0025945835688008984,0.027005980398031714,-0.07183519470341451,-0.02059312446671631,-0.10277042860695032
_H__H_,0.008978950529965186,-0.38806114611359,-0.02926183832350979,0.005816981009733517,-0.01976097246127926,-0.11167481628894148,-0.037163449815439065,-0.22691439491260804
FCF,-0.017197582623283053,-0.3559052533463779,0.008968404271434886,0.007879218725899776,-0.017727607226218113,-0.10861534535944517,-0.019155231199463902,-0.207506977988874
C,-0.0015008533315917696,-0.36027314923736625,-0.020961298687636118,0.0038716764381849563,-0.01102624048367138,-0.08385715453737776,-0.020933409356282247,-0.2033065991467091
FC_C_F__F_F__Cl_F,-0.01157555397634324,0.1379586014756516,-0.002999614537621822,-0.006837291307932428,0.011817506707920672,0.05862168781221263,0.012867366876861231,0.030636174086118056
N_CC_C_F__F_F__F_F,7.59866774200371e-05,0.34585208278482443,0.04740992192557718,0.0267349775198297,0.03375967154120579,0.109202852851466,0.016458870894753504,0.23265894385711844
_N-___N___O,0.009776995970008926,-0.33779667155607074,-0.018844145021539,0.007020307155050015,0.008798483728179948,-0.09554825493410993,-0.027114208172967308,-0.19800464127923093
CC_F__F_F,-0.021504969271196665,-0.22806272736331984,0.022247033563715646,0.019939321673997236,0.03764366282629318,-0.04779109573638141,0.029805238159371437,-0.10091564367567255
FC_C_CC_F__F_F__F_F,-0.002600599929924604,0.2929695025782007,-0.023244826152472992,0.01783428188130978,0.025042167059488012,0.05137621032567087,0.011591218275081583,0.19862400843646583
FC_Cl_F,-0.009619268030414033,-0.28360749016260595,0.024193958722756433,-0.010238782036031107,-0.02994999638796337,-0.03053991970484576,0.017520000865229528,-0.14934268360525893
