loss,mae,val_loss,val_mae,epoch
0.733629047870636,0.7260792255401611,1.0148634910583496,0.8378738164901733,1
0.4858055114746094,0.5825100541114807,0.8356637954711914,0.7905994653701782,2
0.4085991084575653,0.5372599959373474,0.7193162441253662,0.6861022114753723,3
0.3749728500843048,0.5141009092330933,0.7892900109291077,0.7147927284240723,4
0.3256798982620239,0.48261016607284546,0.7755589485168457,0.7244638800621033,5
0.32810527086257935,0.49128231406211853,0.7568701505661011,0.6856701970100403,6
0.27970775961875916,0.4450758397579193,0.7460825443267822,0.6193779110908508,7
0.3066289722919464,0.44626301527023315,0.6838557720184326,0.6324425339698792,8
0.26527056097984314,0.42961421608924866,0.6369339823722839,0.6348845958709717,9
0.2628244161605835,0.4257257878780365,0.6317224502563477,0.5957427620887756,10
0.24908050894737244,0.3901768922805786,0.7725310325622559,0.6990779042243958,11
0.2302367240190506,0.39394479990005493,0.6605462431907654,0.6813655495643616,12
0.3029665946960449,0.439801961183548,0.5745901465415955,0.6209526658058167,13
0.2382861226797104,0.40708664059638977,0.6438940167427063,0.6150179505348206,14
0.24084731936454773,0.39471179246902466,0.6127009987831116,0.5784593820571899,15
0.19613118469715118,0.34132078289985657,0.5536060333251953,0.591985821723938,16
0.20063909888267517,0.37224432826042175,0.566572904586792,0.6254608035087585,17
0.16631823778152466,0.34758543968200684,0.6504712700843811,0.6232523322105408,18
0.19255682826042175,0.35274800658226013,0.6240717172622681,0.6193583607673645,19
0.18173104524612427,0.343315452337265,0.5151345133781433,0.5860868096351624,20
0.17149235308170319,0.32167285680770874,0.5622836947441101,0.5814340114593506,21
0.23947586119174957,0.38919782638549805,0.44550621509552,0.5311832427978516,22
0.1416175216436386,0.3136327266693115,0.5232365727424622,0.5821577310562134,23
0.2020217627286911,0.36188629269599915,0.5624383687973022,0.5958060622215271,24
0.1956867128610611,0.36645597219467163,0.49808046221733093,0.5846660137176514,25
0.2185811549425125,0.3714507222175598,0.5044427514076233,0.593400239944458,26
0.14509592950344086,0.30751267075538635,0.5127055048942566,0.5868351459503174,27
0.13714022934436798,0.28322625160217285,0.46615728735923767,0.5828351378440857,28
0.2225387692451477,0.37767669558525085,0.5140701532363892,0.5419523119926453,29
0.22297705709934235,0.36948907375335693,0.4449644684791565,0.5724623203277588,30
0.12035133689641953,0.27613332867622375,0.4193529784679413,0.5467026233673096,31
0.16242869198322296,0.3003748953342438,0.4447042644023895,0.5627027750015259,32
0.15863817930221558,0.31332969665527344,0.4326186180114746,0.5426880717277527,33
0.14550438523292542,0.29408928751945496,0.3983290493488312,0.5162394642829895,34
0.11675916612148285,0.2722058892250061,0.4323582351207733,0.5417361855506897,35
0.21957947313785553,0.37309369444847107,0.43353211879730225,0.5592992305755615,36
0.17612417042255402,0.34392985701560974,0.4263838827610016,0.5219248533248901,37
0.13599646091461182,0.30242252349853516,0.4091435372829437,0.5677890777587891,38
0.14377762377262115,0.3167589604854584,0.3770323097705841,0.515857994556427,39
0.10624661296606064,0.26271745562553406,0.43885743618011475,0.5456967353820801,40
0.11856884509325027,0.27601954340934753,0.4150718152523041,0.5498483180999756,41
0.15328970551490784,0.3196178078651428,0.41355884075164795,0.553781270980835,42
0.12622469663619995,0.27408191561698914,0.4313073456287384,0.5278488993644714,43
0.16448913514614105,0.3206891715526581,0.4568547010421753,0.5405814051628113,44
0.13120132684707642,0.314605176448822,0.4587923288345337,0.5784217119216919,45
0.10536255687475204,0.2619197368621826,0.5009971261024475,0.6092517375946045,46
0.10815384238958359,0.26825276017189026,0.4812215268611908,0.5579746961593628,47
0.16575029492378235,0.31348302960395813,0.4496265649795532,0.5297253131866455,48
0.14896441996097565,0.306324303150177,0.5155313611030579,0.5669782161712646,49
0.12381330132484436,0.29072773456573486,0.3882719874382019,0.5031939744949341,50
0.12722203135490417,0.2883022427558899,0.3721134662628174,0.420204758644104,51
0.14905449748039246,0.29942554235458374,0.3405727744102478,0.4378875494003296,52
0.12839344143867493,0.27816325426101685,0.33328408002853394,0.5072794556617737,53
0.13957414031028748,0.284453421831131,0.37264057993888855,0.4586828649044037,54
0.10781291872262955,0.26148876547813416,0.3765887916088104,0.492615282535553,55
0.09706532955169678,0.24463559687137604,0.386865496635437,0.5042552351951599,56
0.11984673142433167,0.26988324522972107,0.3866209387779236,0.42652109265327454,57
0.16203376650810242,0.3156442642211914,0.38126835227012634,0.5074150562286377,58
0.16164037585258484,0.3343358039855957,0.39586639404296875,0.45527446269989014,59
0.1189471036195755,0.27916431427001953,0.39095422625541687,0.44760507345199585,60
0.12177688628435135,0.2813014090061188,0.3937671184539795,0.510814905166626,61
0.11726932227611542,0.2883424460887909,0.42768752574920654,0.5249696969985962,62
0.13242223858833313,0.30314385890960693,0.4310959577560425,0.5005030632019043,63
0.11667515337467194,0.23161937296390533,0.3750342130661011,0.498000830411911,64
0.1609853357076645,0.3041423559188843,0.38942524790763855,0.48917219042778015,65
0.1158239096403122,0.2699134945869446,0.392093300819397,0.515849769115448,66
0.12976250052452087,0.26331910490989685,0.360918790102005,0.47457170486450195,67
0.09803228080272675,0.24753159284591675,0.36409008502960205,0.4789143204689026,68
0.11340878158807755,0.2576696574687958,0.4292931854724884,0.5159574747085571,69
0.12331807613372803,0.27801433205604553,0.351771742105484,0.44994428753852844,70
0.13508224487304688,0.28304505348205566,0.36284253001213074,0.4579445421695709,71
0.12187938392162323,0.28173118829727173,0.37623465061187744,0.46173471212387085,72
0.11336099356412888,0.2760092616081238,0.42203426361083984,0.5308191776275635,73
0.11785851418972015,0.26448413729667664,0.3967749774456024,0.4957756996154785,74
0.11747747659683228,0.2715454697608948,0.4098697304725647,0.5253008008003235,75
0.07943538576364517,0.22210632264614105,0.4194338023662567,0.5319318771362305,76
0.12023089081048965,0.2732485830783844,0.3348749577999115,0.4573461711406708,77
0.08617779612541199,0.23648568987846375,0.3743652403354645,0.496103435754776,78
0.08198201656341553,0.22693587839603424,0.4016437232494354,0.4817461371421814,79
0.0930909812450409,0.2581437826156616,0.4442101716995239,0.5824187994003296,80
0.14190475642681122,0.29217690229415894,0.42902082204818726,0.5199918746948242,81
0.09075241535902023,0.23419642448425293,0.44329798221588135,0.489507257938385,82
0.13839127123355865,0.28928041458129883,0.394167423248291,0.4550832211971283,83
0.08659178018569946,0.23136554658412933,0.3659871816635132,0.47844403982162476,84
0.0822884663939476,0.24009627103805542,0.34887731075286865,0.4290895164012909,85
0.09262964874505997,0.24123303592205048,0.34498289227485657,0.4196469485759735,86
0.11217310279607773,0.24995942413806915,0.3693660497665405,0.4414481520652771,87
0.10717113316059113,0.25224199891090393,0.4784884452819824,0.5430824756622314,88
0.15310803055763245,0.26866579055786133,0.31955063343048096,0.43012964725494385,89
0.12654262781143188,0.3018393814563751,0.40713927149772644,0.469250351190567,90
0.07819218188524246,0.221160888671875,0.3795534372329712,0.46116161346435547,91
0.09560953080654144,0.24867551028728485,0.39593303203582764,0.47718435525894165,92
0.11478611081838608,0.25089162588119507,0.3646124601364136,0.4618645906448364,93
0.08420030772686005,0.21789711713790894,0.40239062905311584,0.47396475076675415,94
0.07395858317613602,0.2163347452878952,0.38803982734680176,0.48520347476005554,95
0.08288539946079254,0.22944824397563934,0.40013065934181213,0.5360161662101746,96
0.09555423259735107,0.24503634870052338,0.4180665612220764,0.46774259209632874,97
0.07644297927618027,0.22729159891605377,0.41501107811927795,0.4649280309677124,98
0.10034086555242538,0.2634226381778717,0.3670053482055664,0.4469980001449585,99
0.09575515240430832,0.2434450089931488,0.41997987031936646,0.4632500112056732,100
0.20990337431430817,0.32290002703666687,0.3660634756088257,0.4647272825241089,101
0.15428893268108368,0.31532013416290283,0.38195371627807617,0.5391623377799988,102
0.08776918053627014,0.23550114035606384,0.43107569217681885,0.5098839998245239,103
0.12202195078134537,0.2808398902416229,0.37381434440612793,0.46374866366386414,104
0.09598641842603683,0.2606430947780609,0.3550240397453308,0.46572399139404297,105
0.09746304154396057,0.23923903703689575,0.4306055009365082,0.523787260055542,106
0.08999409526586533,0.24777142703533173,0.39271214604377747,0.5405886769294739,107
0.1227554902434349,0.25917762517929077,0.3858012855052948,0.48238426446914673,108
0.08823321759700775,0.23448863625526428,0.41500094532966614,0.5524386763572693,109
0.09560602158308029,0.24171936511993408,0.4097172021865845,0.5258645415306091,110
0.06209732964634895,0.1953839659690857,0.4430481791496277,0.5505918860435486,111
0.10302815586328506,0.2619294226169586,0.3730680048465729,0.46010875701904297,112
0.09472484141588211,0.24240034818649292,0.3518962264060974,0.5257723331451416,113
0.07002148777246475,0.20639914274215698,0.3273424208164215,0.4411486089229584,114
0.12628382444381714,0.27157118916511536,0.36934810876846313,0.502587080001831,115
0.078395776450634,0.2237791121006012,0.4303387403488159,0.5203137993812561,116
0.0971703752875328,0.258071631193161,0.4342638850212097,0.4954622983932495,117
0.08699871599674225,0.2092500478029251,0.420577734708786,0.5179542899131775,118
0.06458327919244766,0.19987724721431732,0.42882323265075684,0.5356695652008057,119
0.09763959795236588,0.21924971044063568,0.435341477394104,0.4966689348220825,120
0.06968529522418976,0.2150765210390091,0.4849846065044403,0.5415914058685303,121
0.07023636251688004,0.19486774504184723,0.3819657862186432,0.5021191239356995,122
0.0727003663778305,0.21763408184051514,0.35497379302978516,0.4794575870037079,123
0.09265703707933426,0.23162057995796204,0.34107065200805664,0.48514482378959656,124
0.0741114392876625,0.2036154717206955,0.4084761440753937,0.45760905742645264,125
0.09310932457447052,0.2580145299434662,0.3911580443382263,0.5176558494567871,126
0.07713871449232101,0.22204825282096863,0.3749687373638153,0.4661133587360382,127
0.09307760000228882,0.22337017953395844,0.3618600070476532,0.5003265738487244,128
0.07616115361452103,0.21049349009990692,0.3843224048614502,0.5188080668449402,129
0.07278863340616226,0.21459336578845978,0.4232543706893921,0.5036647319793701,130
0.060301318764686584,0.1873055249452591,0.5148780941963196,0.6125923991203308,131
0.10508520901203156,0.2555380165576935,0.48136621713638306,0.53279709815979,132
0.062039028853178024,0.2133217304944992,0.4324952960014343,0.5055007338523865,133
0.06140494346618652,0.2081802487373352,0.40573087334632874,0.5104169249534607,134
0.07640361040830612,0.23058150708675385,0.4131580889225006,0.5313547849655151,135
0.08417204767465591,0.22196179628372192,0.37501776218414307,0.5018426775932312,136
0.09710433334112167,0.2529938220977783,0.3423575162887573,0.4876518249511719,137
0.07317821681499481,0.21825011074543,0.38863497972488403,0.5049363970756531,138
0.07411931455135345,0.21173307299613953,0.39071527123451233,0.4994276463985443,139
0.11020906269550323,0.26260069012641907,0.3507826328277588,0.46323859691619873,140
0.09577877074480057,0.2418200969696045,0.3926922678947449,0.43676361441612244,141
0.0742056593298912,0.21642127633094788,0.36920320987701416,0.48233604431152344,142
0.06506125628948212,0.2092577964067459,0.39631664752960205,0.4941786229610443,143
0.07284326106309891,0.21514950692653656,0.3502664864063263,0.48165246844291687,144
