number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_dropout_rate,params_learning_rate,params_n_layers,params_n_units,params_optimizer,state
34,0.27177310883998873,2026-02-27 13:16:28.330631,2026-02-27 13:16:48.533157,0 days 00:00:20.202526,swish,4,0.1,0.008137685578708082,3,16,adam,COMPLETE
35,0.28853318095207214,2026-02-27 13:16:48.547099,2026-02-27 13:17:05.009653,0 days 00:00:16.462554,swish,4,0.1,0.008681893388252083,2,16,adam,COMPLETE
36,0.22675541192293167,2026-02-27 13:17:05.030443,2026-02-27 13:17:21.652528,0 days 00:00:16.622085,swish,4,0.0,0.006807936096668156,2,16,adam,COMPLETE
37,0.31665609776973724,2026-02-27 13:17:21.678497,2026-02-27 13:17:36.130013,0 days 00:00:14.451516,swish,4,0.0,0.006312847611237208,2,16,adam,COMPLETE
38,0.33861256539821627,2026-02-27 13:17:36.153670,2026-02-27 13:17:50.813154,0 days 00:00:14.659484,swish,4,0.0,0.006149753835119147,2,16,adam,COMPLETE
39,0.5529171317815781,2026-02-27 13:17:50.839045,2026-02-27 13:18:27.617757,0 days 00:00:36.778712,swish,4,0.0,6.96266399897835e-05,2,16,adam,COMPLETE
40,0.5041677132248878,2026-02-27 13:18:27.639093,2026-02-27 13:18:48.714622,0 days 00:00:21.075529,swish,4,0.0,0.0018365933275398872,2,16,sgd,COMPLETE
41,0.33434062749147414,2026-02-27 13:18:48.736452,2026-02-27 13:19:07.277458,0 days 00:00:18.541006,swish,4,0.1,0.0077365186072011595,2,16,adam,COMPLETE
42,0.2742245435714722,2026-02-27 13:19:07.303415,2026-02-27 13:19:26.455578,0 days 00:00:19.152163,swish,4,0.1,0.009601160260835977,2,12,adam,COMPLETE
43,0.2695942997932434,2026-02-27 13:19:26.469198,2026-02-27 13:19:45.521019,0 days 00:00:19.051821,swish,4,0.1,0.009964790770618025,2,16,adam,COMPLETE
44,0.30774751901626585,2026-02-27 13:19:45.546692,2026-02-27 13:20:03.155067,0 days 00:00:17.608375,swish,4,0.1,0.005523454763417802,2,16,adam,COMPLETE
45,0.4601872354745865,2026-02-27 13:20:03.172610,2026-02-27 13:20:30.999705,0 days 00:00:27.827095,swish,8,0.0,0.0002466538773984518,2,12,adam,COMPLETE
46,0.24879131764173507,2026-02-27 13:20:31.016376,2026-02-27 13:20:50.587405,0 days 00:00:19.571029,swish,4,0.1,0.009646625954220105,2,12,adam,COMPLETE
47,1.134238886833191,2026-02-27 13:20:50.601053,2026-02-27 13:21:42.514621,0 days 00:00:51.913568,swish,4,0.0,1.142527569030409e-05,2,16,sgd,COMPLETE
48,0.29383543133735657,2026-02-27 13:21:42.535686,2026-02-27 13:22:06.724238,0 days 00:00:24.188552,swish,4,0.1,0.004121387623592981,2,16,adam,COMPLETE
49,0.3322430044412613,2026-02-27 13:22:06.747436,2026-02-27 13:22:29.292652,0 days 00:00:22.545216,relu,8,0.2,0.006722534699159223,2,12,adam,COMPLETE
50,0.38528468906879426,2026-02-27 13:22:29.307627,2026-02-27 13:22:51.827288,0 days 00:00:22.519661,leaky_relu,4,0.2,0.0019309106550690347,2,16,adam,COMPLETE
51,0.2627893567085266,2026-02-27 13:22:51.844283,2026-02-27 13:23:11.059993,0 days 00:00:19.215710,swish,4,0.1,0.009849263439873772,2,12,adam,COMPLETE
52,0.3182475835084915,2026-02-27 13:23:11.077568,2026-02-27 13:23:30.141145,0 days 00:00:19.063577,swish,4,0.1,0.005391316577449236,2,12,adam,COMPLETE
53,0.3145737946033478,2026-02-27 13:23:30.158877,2026-02-27 13:23:51.686201,0 days 00:00:21.527324,swish,4,0.1,0.00971968558490097,1,12,adam,COMPLETE
54,0.35348682999610903,2026-02-27 13:23:51.700118,2026-02-27 13:24:09.224266,0 days 00:00:17.524148,swish,4,0.1,0.007136305497283036,2,12,rmsprop,COMPLETE
55,0.3144091695547104,2026-02-27 13:24:09.246055,2026-02-27 13:24:27.275762,0 days 00:00:18.029707,swish,4,0.1,0.004261214806585659,2,16,adam,COMPLETE
56,0.6381636142730713,2026-02-27 13:24:27.289639,2026-02-27 13:25:15.211881,0 days 00:00:47.922242,relu,8,0.1,0.00013080274933951764,1,12,sgd,COMPLETE
57,0.3542040526866913,2026-02-27 13:25:15.229096,2026-02-27 13:25:29.006648,0 days 00:00:13.777552,swish,4,0.0,0.007012494143225175,2,16,adam,COMPLETE
58,0.3775679558515549,2026-02-27 13:25:29.023842,2026-02-27 13:25:50.040399,0 days 00:00:21.016557,leaky_relu,16,0.2,0.005178609870070574,2,12,adam,COMPLETE
59,0.5565383791923523,2026-02-27 13:25:50.063593,2026-02-27 13:26:39.266175,0 days 00:00:49.202582,swish,4,0.1,3.199181566513619e-05,2,16,rmsprop,COMPLETE
60,0.3839073061943054,2026-02-27 13:26:39.276342,2026-02-27 13:26:58.534340,0 days 00:00:19.257998,swish,4,0.1,0.0036553275769869594,1,12,adam,COMPLETE
61,0.2528543874621391,2026-02-27 13:26:58.555154,2026-02-27 13:27:17.822186,0 days 00:00:19.267032,swish,4,0.1,0.009865269147327783,2,12,adam,COMPLETE
62,0.34784969687461853,2026-02-27 13:27:17.844014,2026-02-27 13:27:37.778190,0 days 00:00:19.934176,swish,4,0.1,0.007577828522523249,2,12,adam,COMPLETE
63,0.3880484402179718,2026-02-27 13:27:37.801715,2026-02-27 13:27:56.716733,0 days 00:00:18.915018,swish,4,0.1,0.005596743700440046,2,12,adam,COMPLETE
