number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_dropout_rate,params_learning_rate,params_n_layers,params_n_units,params_optimizer,state
151,0.25674162060022354,2026-02-27 14:04:43.311029,2026-02-27 14:05:14.683718,0 days 00:00:31.372689,swish,4,0.1,0.008499028132972207,2,16,adam,COMPLETE
152,0.3081869691610336,2026-02-27 14:05:14.697671,2026-02-27 14:05:43.525759,0 days 00:00:28.828088,swish,4,0.1,0.009988299727498477,2,16,adam,COMPLETE
153,0.2874299302697182,2026-02-27 14:05:43.543843,2026-02-27 14:06:12.069723,0 days 00:00:28.525880,swish,4,0.1,0.008753552188677504,2,16,adam,COMPLETE
154,0.2874516487121582,2026-02-27 14:06:12.095383,2026-02-27 14:06:38.640065,0 days 00:00:26.544682,swish,4,0.1,0.007432262287786542,2,16,adam,COMPLETE
155,0.27718254625797273,2026-02-27 14:06:38.655544,2026-02-27 14:07:08.062264,0 days 00:00:29.406720,swish,4,0.1,0.006770470459552953,2,16,adam,COMPLETE
156,0.2993242681026459,2026-02-27 14:07:08.079810,2026-02-27 14:07:37.283471,0 days 00:00:29.203661,relu,4,0.1,0.008350381196413428,2,16,adam,COMPLETE
157,0.4800454586744308,2026-02-27 14:07:37.301936,2026-02-27 14:08:06.453284,0 days 00:00:29.151348,swish,4,0.1,0.005938510500317179,2,16,sgd,COMPLETE
158,0.31133465766906737,2026-02-27 14:08:06.468450,2026-02-27 14:08:34.892981,0 days 00:00:28.424531,leaky_relu,8,0.1,0.008834565259119782,2,16,adam,COMPLETE
159,0.2588120073080063,2026-02-27 14:08:34.919159,2026-02-27 14:09:03.922397,0 days 00:00:29.003238,swish,4,0.1,0.007655391907177721,2,16,adam,COMPLETE
160,0.2978138208389282,2026-02-27 14:09:03.939676,2026-02-27 14:09:33.240682,0 days 00:00:29.301006,swish,4,0.1,0.005413038649060342,2,16,adam,COMPLETE
161,0.2901750385761261,2026-02-27 14:09:33.254863,2026-02-27 14:10:05.270810,0 days 00:00:32.015947,swish,4,0.1,0.0074091945013638515,2,16,adam,COMPLETE
162,0.27547237277030945,2026-02-27 14:10:05.288935,2026-02-27 14:10:33.218439,0 days 00:00:27.929504,swish,4,0.1,0.009962853876687277,2,16,adam,COMPLETE
163,0.25377480387687684,2026-02-27 14:10:33.244984,2026-02-27 14:11:02.408928,0 days 00:00:29.163944,swish,4,0.1,0.008052930616994382,2,16,adam,COMPLETE
164,0.3896761894226074,2026-02-27 14:11:02.426985,2026-02-27 14:11:32.275124,0 days 00:00:29.848139,swish,4,0.1,0.006793073890525904,2,4,adam,COMPLETE
165,0.2511956304311752,2026-02-27 14:11:32.293214,2026-02-27 14:12:02.776546,0 days 00:00:30.483332,swish,4,0.1,0.008078458457701727,2,16,adam,COMPLETE
166,0.27795597165822983,2026-02-27 14:12:02.791421,2026-02-27 14:12:33.030389,0 days 00:00:30.238968,swish,4,0.1,0.006366281298662164,2,16,rmsprop,COMPLETE
167,0.26599153578281404,2026-02-27 14:12:33.045046,2026-02-27 14:13:02.368030,0 days 00:00:29.322984,relu,4,0.1,0.007920101850388332,2,16,adam,COMPLETE
168,0.3300848141312599,2026-02-27 14:13:02.382212,2026-02-27 14:13:32.147236,0 days 00:00:29.765024,swish,4,0.1,0.00783602957731696,2,16,adam,COMPLETE
169,0.24409085363149643,2026-02-27 14:13:32.168650,2026-02-27 14:14:04.569842,0 days 00:00:32.401192,relu,4,0.1,0.008115167046559011,2,16,adam,COMPLETE
170,0.31153739988803864,2026-02-27 14:14:04.583997,2026-02-27 14:14:30.749201,0 days 00:00:26.165204,swish,4,0.0,0.005594722770441616,2,16,adam,COMPLETE
171,0.28041248619556425,2026-02-27 14:14:30.763221,2026-02-27 14:15:01.435522,0 days 00:00:30.672301,relu,4,0.1,0.008022631965992533,2,16,adam,COMPLETE
172,0.2730595707893372,2026-02-27 14:15:01.446973,2026-02-27 14:15:32.441190,0 days 00:00:30.994217,relu,4,0.1,0.008712678969723444,2,16,adam,COMPLETE
173,0.28357679545879366,2026-02-27 14:15:32.455233,2026-02-27 14:16:01.978794,0 days 00:00:29.523561,relu,4,0.1,0.007678213569770562,2,16,adam,COMPLETE
174,0.5256503641605377,2026-02-27 14:16:01.992801,2026-02-27 14:16:42.886760,0 days 00:00:40.893959,relu,4,0.1,0.00016522425745354964,2,16,adam,COMPLETE
175,0.2653907150030136,2026-02-27 14:16:42.900878,2026-02-27 14:17:12.539411,0 days 00:00:29.638533,relu,4,0.1,0.008818328247622433,2,16,adam,COMPLETE
176,0.2943705588579178,2026-02-27 14:17:12.566163,2026-02-27 14:17:42.185580,0 days 00:00:29.619417,swish,4,0.1,0.008821821779602407,2,16,adam,COMPLETE
177,0.2562213152647018,2026-02-27 14:17:42.206284,2026-02-27 14:18:14.933443,0 days 00:00:32.727159,relu,4,0.1,0.0070233479721744305,2,16,adam,COMPLETE
178,0.28958365619182586,2026-02-27 14:18:14.951587,2026-02-27 14:18:46.478695,0 days 00:00:31.527108,swish,4,0.1,0.006507261147099598,2,16,adam,COMPLETE
179,0.29460926353931427,2026-02-27 14:18:46.492452,2026-02-27 14:19:19.124670,0 days 00:00:32.632218,swish,4,0.1,0.005079684152280938,2,16,adam,COMPLETE
180,0.4150179743766785,2026-02-27 14:19:19.150241,2026-02-27 14:19:47.881651,0 days 00:00:28.731410,relu,16,0.1,0.006972332847159709,2,16,adam,COMPLETE
181,0.292142379283905,2026-02-27 14:19:47.898319,2026-02-27 14:20:19.236401,0 days 00:00:31.338082,relu,4,0.1,0.008936894704233247,2,16,adam,COMPLETE
182,0.23620156347751617,2026-02-27 14:20:19.251681,2026-02-27 14:20:51.115769,0 days 00:00:31.864088,relu,4,0.1,0.007613777547687325,2,16,adam,COMPLETE
183,0.2650407448410988,2026-02-27 14:20:51.141648,2026-02-27 14:21:22.857641,0 days 00:00:31.715993,relu,4,0.1,0.006015780093963155,2,16,adam,COMPLETE
184,0.3060435175895691,2026-02-27 14:21:22.871739,2026-02-27 14:21:53.864987,0 days 00:00:30.993248,relu,4,0.1,0.007755033762562809,2,16,adam,COMPLETE
185,0.26167620718479156,2026-02-27 14:21:53.882242,2026-02-27 14:22:26.004271,0 days 00:00:32.122029,relu,4,0.1,0.007105731813097911,2,16,adam,COMPLETE
186,0.330186253786087,2026-02-27 14:22:26.030143,2026-02-27 14:22:57.142357,0 days 00:00:31.112214,relu,4,0.1,0.004493418073981683,2,16,adam,COMPLETE
187,0.26388276517391207,2026-02-27 14:22:57.160085,2026-02-27 14:23:28.056052,0 days 00:00:30.895967,relu,4,0.1,0.006879683302060606,2,16,adam,COMPLETE
188,0.24544760286808015,2026-02-27 14:23:28.070437,2026-02-27 14:24:00.753510,0 days 00:00:32.683073,relu,4,0.1,0.005477353952670196,2,16,adam,COMPLETE
189,0.2644243389368057,2026-02-27 14:24:00.767698,2026-02-27 14:24:32.328993,0 days 00:00:31.561295,relu,4,0.1,0.005454985057291711,2,16,adam,COMPLETE
190,0.2659519866108894,2026-02-27 14:24:32.346992,2026-02-27 14:25:06.052038,0 days 00:00:33.705046,relu,4,0.1,0.006061799539403527,2,16,adam,COMPLETE
191,0.2798687994480133,2026-02-27 14:25:06.069515,2026-02-27 14:25:37.012529,0 days 00:00:30.943014,relu,4,0.1,0.007366275870165892,2,16,adam,COMPLETE
192,0.24309150278568267,2026-02-27 14:25:37.033698,2026-02-27 14:26:08.142671,0 days 00:00:31.108973,relu,4,0.1,0.009975500506667182,2,16,adam,COMPLETE
193,0.252125608921051,2026-02-27 14:26:08.156739,2026-02-27 14:26:37.739623,0 days 00:00:29.582884,relu,4,0.1,0.007776898102494399,2,16,adam,COMPLETE
194,0.2636373370885849,2026-02-27 14:26:37.753621,2026-02-27 14:27:09.350050,0 days 00:00:31.596429,relu,4,0.1,0.00805787643817667,2,16,adam,COMPLETE
195,0.27476288080215455,2026-02-27 14:27:09.372932,2026-02-27 14:27:40.852332,0 days 00:00:31.479400,relu,4,0.1,0.009800327189738018,2,16,adam,COMPLETE
196,0.25387934446334837,2026-02-27 14:27:40.867554,2026-02-27 14:28:16.197338,0 days 00:00:35.329784,relu,4,0.1,0.0063419221573685,2,16,adam,COMPLETE
197,0.30571703612804413,2026-02-27 14:28:16.212597,2026-02-27 14:28:49.364342,0 days 00:00:33.151745,relu,8,0.1,0.005594913030162965,2,16,adam,COMPLETE
198,0.30041025280952455,2026-02-27 14:28:49.388980,2026-02-27 14:29:21.545484,0 days 00:00:32.156504,relu,4,0.1,0.0060932184596120716,2,16,adam,COMPLETE
199,0.7175731003284455,2026-02-27 14:29:21.560592,2026-02-27 14:30:33.091830,0 days 00:01:11.531238,relu,4,0.1,1.4392300878524154e-05,2,16,adam,COMPLETE
